Datetime,Close,High,Low,Open,Volume
2026-06-12 15:30:00+00:00,161.30999755859375,168.75,150.0,150.0,90004242
2026-06-12 16:00:00+00:00,164.968994140625,167.77000427246094,155.4199981689453,161.35000610351562,88532026
2026-06-12 16:30:00+00:00,173.74000549316406,174.0,163.07000732421875,164.9600067138672,56616741
2026-06-12 17:00:00+00:00,172.27999877929688,176.52000427246094,169.4600067138672,173.72000122070312,44169592
2026-06-12 17:30:00+00:00,173.3300018310547,174.0,168.0,172.28500366210938,26438783
2026-06-12 18:00:00+00:00,169.1999969482422,173.36000061035156,165.0500030517578,173.36000061035156,29089217
2026-06-12 18:30:00+00:00,168.85000610351562,170.94000244140625,166.3000030517578,169.2949981689453,21655936
2026-06-12 19:00:00+00:00,161.44000244140625,169.22999572753906,161.30999755859375,168.88999938964844,32934441
2026-06-12 19:30:00+00:00,161.27000427246094,162.77000427246094,157.44000244140625,161.4600067138672,44594464
2026-06-15 13:30:00+00:00,173.6300048828125,175.0,168.36000061035156,171.80999755859375,60110813
2026-06-15 14:00:00+00:00,170.85000610351562,175.89999389648438,170.60000610351562,173.6300048828125,22584750
2026-06-15 14:30:00+00:00,173.60000610351562,173.8000030517578,169.1999969482422,170.8800048828125,12963324
2026-06-15 15:00:00+00:00,173.6616973876953,174.0800018310547,172.52999877929688,173.58999633789062,9207122
2026-06-15 15:30:00+00:00,175.8000030517578,178.47999572753906,173.27000427246094,173.64999389648438,15414122
2026-06-15 16:00:00+00:00,178.8800048828125,178.9499969482422,173.75,175.8300018310547,12800640
2026-06-15 16:30:00+00:00,179.29989624023438,179.5,177.0,178.8354949951172,10976645
2026-06-15 17:00:00+00:00,183.3350067138672,184.44000244140625,179.0,179.27000427246094,17945084
2026-06-15 17:30:00+00:00,188.40989685058594,188.49000549316406,182.7899932861328,183.32000732421875,14631596
2026-06-15 18:00:00+00:00,186.10330200195312,188.8000030517578,182.30999755859375,188.38499450683594,14564660
2026-06-15 18:30:00+00:00,187.33999633789062,187.8699951171875,185.08999633789062,186.13499450683594,9850264
2026-06-15 19:00:00+00:00,183.39999389648438,187.86000061035156,181.5399932861328,187.3699951171875,12457777
2026-06-15 19:30:00+00:00,192.43499755859375,192.9499969482422,182.3000030517578,183.43499755859375,23906632
2026-06-16 13:30:00+00:00,219.0,220.02000427246094,200.0,200.42030334472656,93751266
2026-06-16 14:00:00+00:00,209.58999633789062,225.63999938964844,207.5,218.80999755859375,45931199
2026-06-16 14:30:00+00:00,207.7550048828125,213.1199951171875,204.10000610351562,209.55999755859375,26768420
2026-06-16 15:00:00+00:00,211.1199951171875,213.0,206.0500030517578,207.8699951171875,16067703
2026-06-16 15:30:00+00:00,211.11000061035156,214.75999450683594,207.30099487304688,211.15499877929688,14336763
2026-06-16 16:00:00+00:00,216.55929565429688,217.3800048828125,210.63999938964844,211.16000366210938,15417805
2026-06-16 16:30:00+00:00,217.1999969482422,217.4600067138672,213.6999969482422,216.5596923828125,11825687
2026-06-16 17:00:00+00:00,214.66000366210938,218.2100067138672,212.7899932861328,217.22999572753906,10824498
2026-06-16 17:30:00+00:00,211.7899932861328,214.8300018310547,210.6300048828125,214.52000427246094,8352253
2026-06-16 18:00:00+00:00,212.9149932861328,214.8000030517578,210.6999969482422,211.6199951171875,7902359
2026-06-16 18:30:00+00:00,208.61000061035156,212.93499755859375,207.7100067138672,212.8699951171875,10326620
2026-06-16 19:00:00+00:00,204.0500030517578,209.38999938964844,200.7100067138672,208.60499572753906,16924193
2026-06-16 19:30:00+00:00,202.0,204.5800018310547,195.1300048828125,204.05999755859375,27943734
