id,spacetrack_id,version,launch_date,longitude,latitude,height_km,velocity_kms
5eed770f096e59000698560d,,v0.9,,,,,
5eed770f096e59000698560e,,v0.9,,,,,
5eed770f096e59000698560f,,v0.9,,,,,
5eed770f096e590006985610,,v0.9,,,,,
5eed770f096e590006985611,,v0.9,,,,,
5eed770f096e590006985612,,v0.9,,,,,
5eed770f096e590006985613,,v0.9,,,,,
5eed770f096e590006985614,,v0.9,,,,,
5eed770f096e590006985615,,v0.9,,,,,
5eed770f096e590006985616,,prototype,,,,,
5eed770f096e590006985617,,prototype,,,,,
5eed770f096e590006985618,,v0.9,,,,,
5eed770f096e590006985619,,v0.9,,,,,
5eed770f096e59000698561a,,v0.9,,,,,
5eed7713096e59000698561b,,v0.9,,,,,
5eed7714096e59000698561c,,v0.9,,,,,
5eed7714096e59000698561d,,v0.9,,,,,
5eed7714096e59000698561e,,v0.9,,,,,
5eed7714096e59000698561f,,v0.9,,,,,
5eed7714096e590006985620,,v0.9,,,,,
5eed7714096e590006985621,,v0.9,,,,,
5eed7714096e590006985622,,v0.9,,,,,
5eed7714096e590006985623,,v0.9,,,,,
5eed7714096e590006985624,,v0.9,,,,,
5eed7714096e590006985625,,v0.9,,,,,
5eed7714096e590006985626,,v0.9,,,,,
5eed7714096e590006985627,,v0.9,,,,,
5eed7714096e590006985628,,v0.9,,,,,
5eed7714096e590006985629,,v0.9,,,,,
5eed7714096e59000698562a,,v0.9,,,,,
5eed7714096e59000698562b,,v0.9,,,,,
5eed7714096e59000698562c,,v0.9,,,,,
5eed7714096e59000698562d,,v0.9,,,,,
5eed7714096e59000698562e,,v0.9,,,,,
5eed7714096e59000698562f,,v0.9,,,,,
5eed7714096e590006985630,,v0.9,,,,,
5eed7714096e590006985631,,v0.9,,,,,
5eed7714096e590006985632,,v0.9,,,,,
5eed7714096e590006985633,,v0.9,,,,,
5eed7714096e590006985634,,v0.9,,,,,
5eed7714096e590006985635,,v0.9,,,,,
5eed7714096e590006985636,,v0.9,,,,,
5eed7714096e590006985637,,v0.9,,,,,
5eed7714096e590006985638,,v0.9,,,,,
5eed7714096e590006985639,,v0.9,,,,,
5eed7714096e59000698563a,,v0.9,,,,,
5eed7714096e59000698563b,,v0.9,,,,,
5eed7714096e59000698563c,,v0.9,,,,,
5eed7714096e59000698563d,,v0.9,,,,,
5eed7714096e59000698563e,,v0.9,,,,,
5eed7714096e59000698563f,,v0.9,,,,,
5eed7714096e590006985640,,v0.9,,,,,
5eed7714096e590006985641,,v0.9,,,,,
5eed7714096e590006985642,,v1.0,,-120.81567094283065,49.63570349585987,551.97843171976,7.592394287918366
5eed7714096e590006985643,,v0.9,,,,,
5eed7714096e590006985644,,v0.9,,,,,
5eed7714096e590006985645,,v0.9,,,,,
5eed7714096e590006985646,,v0.9,,,,,
5eed7714096e590006985647,,v0.9,,,,,
5eed7714096e590006985648,,v1.0,,159.77312127185127,-22.195023107488606,553.5673490877389,7.584979177599639
5eed7714096e590006985649,,v0.9,,,,,
5eed7714096e59000698564a,,v0.9,,,,,
5eed7714096e59000698564b,,v1.0,,66.81662785344031,-51.35133791052966,566.177210091244,7.577226043933729
5eed7714096e59000698564c,,v0.9,,,,,
5eed7714096e59000698564d,,v1.0,,-158.0557362480994,28.92516269814258,547.8106793129455,7.592489691620256
5eed7714096e59000698564e,,v1.0,,-173.5913596565454,-14.472958751594643,550.8578828694699,7.58692987209174
5eed7714096e59000698564f,,v1.0,,-144.9263839758776,39.161303085994646,549.3396730027262,7.592936258472526
5eed7714096e590006985650,,v1.0,,143.72669524009416,-36.64482567025677,559.596684815644,7.581144485777749
5eed7714096e590006985651,,v1.0,,-89.0893099033763,53.157364903096685,552.6080184948214,7.592492796986943
5eed7714096e590006985652,,v1.0,,-20.08997328370842,22.04525197865137,547.6587258892268,7.591436826580313
5eed7714096e590006985653,,v1.0,,,,,
5eed7714096e590006985654,,v1.0,,-26.310398043430386,42.81077720374015,550.7229769186752,7.592255767600896
